year,length,budget,rating,mpaa,type,y,genre,length_c,logit
2003,108,1.00E+06,6.8,R,Good,1,"Drama, Romance",0.322761194,-0.115935304
2000,162,6.00E+07,8,R,Good,1,"Comedy, Drama",54.32276119,0.158820513
2005,96,2.00E+07,2.1,R,Bad,0,Action,-11.67723881,-0.154975647
2004,90,4.20E+07,5.8,PG-13,Bad,0,"Comedy, Romance",-17.67723881,-0.057625167
2001,104,2.80E+07,6.1,R,Bad,0,Drama,-3.677238806,0.036761998
1984,180,1.80E+07,8.3,R,Good,1,Drama,72.32276119,0.742931635
2001,102,4.80E+07,5.8,PG-13,Bad,0,"Comedy, Romance",-5.677238806,0.086178067
1999,121,1.50E+07,8.5,R,Good,1,Drama,13.32276119,0.090627161
1998,119,1.00E+07,8.4,R,Good,1,Drama,11.32276119,0.121265948
2001,94,3.50E+07,5.5,PG-13,Bad,0,"Action, Comedy",-13.67723881,0.054057622
1999,95,1.10E+07,6.8,R,Good,1,Comedy,-12.67723881,0.080743947
2001,105,3.00E+07,6.3,R,Good,1,Comedy,-2.677238806,0.041703605
1995,114,6.20E+07,6.9,PG-13,Good,1,"Comedy, Drama, Romance",6.322761194,0.378726141
2000,102,8.00E+06,6.8,R,Good,1,Drama,-5.677238806,0.030338733
2003,103,5.50E+07,6.3,R,Good,1,Comedy,-4.677238806,0.017488083
1997,105,2.20E+07,5,R,Bad,0,"Comedy, Romance",-2.677238806,0.193908394
1997,152,4.00E+07,7,R,Good,1,Drama,44.32276119,0.238382856
2000,153,2.00E+06,8.2,R,Good,1,Drama,45.32276119,0.015513912
1999,109,3.00E+07,6.6,R,Good,1,Comedy,1.322761194,0.127689213
2004,104,2.60E+07,6.5,PG-13,Good,1,Comedy,-3.677238806,-0.097158022
2001,102,3.80E+07,5.6,R,Bad,0,"Drama, Romance",-5.677238806,0.061470032
2003,106,7.50E+07,6,PG-13,Bad,0,Comedy,-1.677238806,0.066904152
2001,84,2.20E+07,4.8,R,Bad,0,Comedy,-23.67723881,0.021937177
2003,11,5.00E+06,7.6,PG-13,Good,1,"Action, Animation, Short",-96.67723881,-0.10605209
1999,148,7.50E+07,6.6,PG-13,Good,1,"Drama, Romance",40.32276119,0.238875369
2001,108,3.00E+07,6,PG-13,Bad,0,Drama,0.322761194,0.041703605
2002,117,12500000,7.4,PG-13,Good,1,Drama,9.322761194,-0.04452826
1998,83,6.00E+07,7,PG,Good,1,"Animation, Comedy",-24.67723881,0.244806121
1999,156,6.20E+07,6.4,R,Good,1,Drama,48.32276119,0.206754924
2003,108,1.80E+07,6.5,R,Good,1,"Comedy, Romance",0.322761194,-0.073931645
1999,114,2.30E+07,5.9,PG-13,Bad,0,Drama,6.322761194,0.110393589
1979,202,31500000,8.5,R,Good,1,"Action, Drama",94.32276119,0.991251503
1995,140,6.20E+07,7.5,PG,Good,1,Drama,32.32276119,0.378726141
1997,134,5.00E+06,7.2,PG-13,Good,1,Drama,26.32276119,0.151904735
1998,112,1.40E+07,6.4,R,Good,1,Drama,4.322761194,0.131149162
2005,95,3.20E+07,3.5,PG,Bad,0,Comedy,-12.67723881,-0.125326005
1999,117,21500000,7.1,R,Good,1,Drama,9.322761194,0.106687384
1998,153,1.40E+08,5.7,PG-13,Bad,0,Action,45.32276119,0.442470398
1993,96,1.10E+07,7.4,R,Good,1,"Action, Comedy",-11.67723881,0.338700773
2004,120,1.10E+08,5.7,PG,Bad,0,"Action, Comedy, Romance",12.32276119,0.110389469
2001,146,9.00E+07,6.8,PG-13,Good,1,Drama,38.32276119,0.189951812
1997,139,5.00E+07,7.7,PG-13,Good,1,"Comedy, Drama, Romance",31.32276119,0.263090891
1995,132,5.00E+07,5.7,R,Bad,0,Action,24.32276119,0.349076499
2005,109,2.00E+07,6.3,R,Good,1,"Action, Drama",1.322761194,-0.154975647
1999,128,4.00E+07,5.7,PG-13,Bad,0,Drama,20.32276119,0.152397248
2001,95,9.00E+07,6.4,PG,Good,1,"Action, Animation",-12.67723881,0.189951812
2002,94,6.30E+07,6.2,PG-13,Good,1,"Action, Comedy",-13.67723881,0.080247315
1997,94,1.70E+07,7,PG-13,Good,1,"Action, Comedy",-13.67723881,0.181554376
1999,95,3.30E+07,6.5,PG-13,Good,1,"Action, Comedy",-12.67723881,0.135101623
2002,105,7.00E+06,6.7,R,Good,1,Drama,-2.677238806,-0.058117679
2000,103,4.00E+07,4.7,PG-13,Bad,0,"Drama, Romance",-4.677238806,0.109404443
2001,106,8.00E+06,6.8,R,Good,1,"Animation, Drama",-1.677238806,-0.012654072
1998,89,6.00E+07,3.4,PG-13,Bad,0,Action,-18.67723881,0.244806121
2004,170,1.16E+08,7.5,PG-13,Good,1,Drama,62.32276119,0.12521429
1995,112,4.00E+06,5.8,R,Bad,0,Drama,4.322761194,0.23541954
2001,130,1.60E+07,6.2,R,Good,1,"Drama, Romance",22.32276119,0.007112356
1999,97,1.30E+07,2.4,PG,Bad,0,Comedy,-10.67723881,0.085685554
1999,101,2.10E+07,5,PG-13,Bad,0,"Comedy, Romance",-6.677238806,0.105451982
1995,118,2.30E+07,6.4,R,Good,1,"Action, Comedy",10.32276119,0.282364806
2003,145,1.30E+08,6.1,R,Bad,0,"Action, Comedy",37.32276119,0.202798342
2002,116,7.00E+07,5.4,PG-13,Bad,0,"Action, Comedy",8.322761194,0.097542939
1996,80,7.00E+06,4.4,R,Bad,0,Action,-27.67723881,0.199839146
2003,98,1.80E+07,7.2,R,Good,1,Comedy,-9.677238806,-0.073931645
2002,103,6.00E+06,6.3,R,Good,1,"Action, Drama",-4.677238806,-0.060588483
2000,119,3.50E+07,5.6,R,Bad,0,"Action, Comedy",11.32276119,0.097050426
2005,112,1500000,6.2,R,Good,1,Drama,4.322761194,-0.200685511
2002,91,7.00E+07,3.4,R,Bad,0,Action,-16.67723881,0.097542939
2000,135,1.00E+07,6.3,R,Good,1,"Comedy, Drama",27.32276119,0.03528034
1971,82,2.00E+06,7.1,PG-13,Good,1,Comedy,-25.67723881,1.262305235
2001,123,8.00E+07,6.7,PG-13,Good,1,"Comedy, Drama, Romance",15.32276119,0.165243778
2002,98,1.00E+07,5.6,R,Bad,0,"Comedy, Drama",-9.677238806,-0.050705269
2004,92,5.00E+05,5.9,PG,Bad,0,"Comedy, Romance",-15.67723881,-0.16016351
2002,102,1.20E+07,6.6,PG-13,Good,1,"Comedy, Drama",-5.677238806,-0.045763662
2004,106,1.80E+07,5.7,PG-13,Bad,0,Comedy,-1.677238806,-0.11692445
2003,98,5.00E+07,6.2,R,Good,1,Drama,-9.677238806,0.005134065
1998,113,1.00E+07,6.1,R,Bad,0,"Drama, Romance",5.322761194,0.121265948
1999,105,3.00E+06,6.3,PG,Good,1,Drama,-2.677238806,0.06097752
1997,125,1.10E+08,3.6,PG-13,Bad,0,Action,17.32276119,0.411339098
1995,122,1.00E+08,5.4,PG-13,Bad,0,"Action, Romance",14.32276119,0.472616672
2003,90,1.00E+06,6,PG-13,Bad,0,"Comedy, Drama, Romance",-17.67723881,-0.115935304
2000,119,7.30E+07,2.4,PG-13,Bad,0,Action,11.32276119,0.190940958
2005,118,5.30E+07,5.5,PG-13,Bad,0,Comedy,10.32276119,-0.073439133
2000,119,5.00E+07,5.8,R,Bad,0,Drama,11.32276119,0.134112478
1997,90,2.20E+07,5.4,PG-13,Bad,0,Comedy,-17.67723881,0.193908394
2000,112,9.00E+06,5.3,PG-13,Bad,0,"Comedy, Drama",4.322761194,0.032809536
2004,137,6.00E+06,6.9,R,Good,1,Drama,29.32276119,-0.146574091
2001,135,6.00E+07,7.8,PG-13,Good,1,Drama,27.32276119,0.115827708
1996,81,1.20E+07,6.2,PG-13,Good,1,"Animation, Comedy",-26.67723881,0.212193163
2005,106,1.40E+07,5.9,PG,Bad,0,"Comedy, Drama",-1.677238806,-0.169800468
2000,93,4.80E+07,5.9,PG-13,Bad,0,Comedy,-14.67723881,0.129170871
2004,80,1.00E+07,8.3,R,Good,1,"Drama, Romance",-27.67723881,-0.136690877
2001,106,4.00E+07,6.1,PG-13,Good,1,"Action, Drama",-1.677238806,0.066411639
2004,104,1.80E+07,7.2,R,Good,1,"Comedy, Drama",-3.677238806,-0.11692445
1998,96,1.00E+07,4.5,R,Bad,0,Drama,-11.67723881,0.121265948
2003,91,1.80E+07,4.2,R,Bad,0,Action,-16.67723881,-0.073931645
1998,172,5.30E+07,5.6,R,Bad,0,Drama,64.32276119,0.227510497
1999,99,2.00E+07,3.7,R,Bad,0,Action,-8.677238806,0.102981178
1999,92,7.00E+06,6.3,R,Good,1,Drama,-15.67723881,0.070860733
2000,90,6.00E+06,7.5,PG-13,Good,1,Comedy,-17.67723881,0.025397126
2002,98,250000,7.3,R,Good,1,Drama,-9.677238806,-0.074795603
2003,127,3.50E+07,5.4,R,Bad,0,"Drama, Romance",19.32276119,-0.031927987
1995,100,2.30E+07,6.4,R,Good,1,Drama,-7.677238806,0.282364806
2003,96,3.00E+06,6.1,R,Good,1,Comedy,-11.67723881,-0.110993697
1999,108,5.00E+05,7.3,R,Good,1,Documentary,0.322761194,0.054800511
2004,118,2.40E+07,6.7,PG-13,Good,1,Drama,10.32276119,-0.102099629
1999,132,1.00E+08,6.2,PG,Good,1,"Drama, Romance",24.32276119,0.300645455
2004,88,5.00E+07,4.7,PG-13,Bad,0,Comedy,-19.67723881,-0.037858739
1999,104,7.00E+06,5.4,R,Bad,0,Drama,-3.677238806,0.070860733
1996,90,1.50E+07,4.2,PG,Bad,0,"Comedy, Drama",-17.67723881,0.219605574
1999,93,34200000,5.9,PG-13,Bad,0,Comedy,-14.67723881,0.138066588
2002,88,1.50E+07,5.5,PG,Bad,0,Comedy,-19.67723881,-0.038351252
2003,125,7.00E+07,8.1,PG-13,Good,1,"Comedy, Drama",17.32276119,0.054550135
1998,91,1.30E+07,5.7,R,Bad,0,"Action, Comedy",-16.67723881,0.128678358
1998,117,1.50E+07,8,R,Good,1,Comedy,9.322761194,0.133619965
2000,98,3.00E+07,4.7,PG-13,Bad,0,Comedy,-9.677238806,0.084696409
1999,86,4.00E+06,6.1,R,Good,1,Comedy,-21.67723881,0.063448323
2002,85,4.00E+07,6.4,PG-13,Good,1,Comedy,-22.67723881,0.023418835
2005,106,750000,7.3,PG-13,Good,1,"Comedy, Drama, Romance",-1.677238806,-0.202538614
2000,110,5.00E+06,7.7,R,Good,1,Drama,2.322761194,0.022926322
2004,100,2.00E+07,6,R,Bad,0,"Drama, Romance",-7.677238806,-0.111982843
2001,93,1.30E+07,6.1,R,Good,1,"Comedy, Drama, Romance",-14.67723881,-0.000300054
2001,142,9.00E+07,7.6,R,Good,1,"Action, Drama",34.32276119,0.189951812
2001,95,5.00E+07,4.1,PG-13,Bad,0,Comedy,-12.67723881,0.091119674
1999,98,1.00E+07,5.2,R,Bad,0,Drama,-9.677238806,0.078273144
1998,110,4.50E+07,6.8,R,Good,1,Action,2.322761194,0.207744069
2002,108,5.50E+07,6.6,R,Good,1,Action,0.322761194,0.060480887
2004,124,6.50E+07,5.7,R,Bad,0,Action,16.32276119,-0.000796687
1999,112,3.50E+07,6.4,PG-13,Good,1,"Comedy, Drama, Romance",4.322761194,0.14004323
2003,99,5100000,5.5,R,Bad,0,Drama,-8.677238806,-0.10580501
2002,110,5.00E+07,6.3,R,Good,1,Drama,2.322761194,0.04812687
1996,101,2.60E+07,6,R,Bad,0,Drama,-6.677238806,0.246784412
1998,87,7300,5.3,R,Bad,0,"Action, Comedy",-20.67723881,0.09657595
2002,107,5.00E+06,7.6,R,Good,1,Drama,-0.677238806,-0.063059286
2001,124,3.00E+07,7.1,R,Good,1,Drama,16.32276119,0.041703605
2002,104,3.00E+07,5.7,PG-13,Bad,0,"Drama, Romance",-3.677238806,-0.0012892
2001,120,1200000,6.6,R,Good,1,Drama,12.32276119,-0.029455535
1998,123,2.80E+07,4.5,PG-13,Bad,0,Comedy,15.32276119,0.16574041
2002,97,2.00E+07,4.5,R,Bad,0,Comedy,-10.67723881,-0.025997234
1996,110,3.20E+07,5,PG,Bad,0,"Comedy, Drama",2.322761194,0.261609233
2000,118,9.00E+06,6.8,R,Good,1,Drama,10.32276119,0.032809536
2003,115,2.00E+07,7.2,PG-13,Good,1,"Comedy, Drama",7.322761194,-0.068990039
1999,118,4.80E+07,6.2,R,Good,1,Drama,10.32276119,0.172163675
2005,89,2.00E+07,4.1,PG-13,Bad,0,Drama,-18.67723881,-0.154975647
1997,156,1.50E+07,7.6,R,Good,1,Drama,48.32276119,0.17661277
1981,216,1.40E+07,8.5,R,Good,1,Drama,108.3227612,0.862026834
1997,89,2.90E+07,5.6,PG,Bad,0,Comedy,-18.67723881,0.211204018
2000,106,3.50E+07,5.8,PG-13,Bad,0,"Drama, Romance",-1.677238806,0.097050426
1996,109,4500000,7.5,R,Good,1,Romance,1.322761194,0.193662137
2002,119,7.50E+07,7.3,PG-13,Good,1,"Action, Drama",11.32276119,0.109896956
2004,108,7.50E+07,7.3,PG-13,Good,1,"Action, Drama",0.322761194,0.023911348
1999,97,5.50E+07,6.4,PG-13,Good,1,Comedy,-10.67723881,0.1894593
2002,120,4.00E+06,8.5,R,Good,1,"Comedy, Drama, Documentary",12.32276119,-0.06553009
1999,118,2.00E+06,7.6,R,Good,1,Drama,10.32276119,0.058506716
2000,94,1.60E+07,4.9,PG-13,Bad,0,"Comedy, Drama, Romance",-13.67723881,0.05010516
1995,90,1.20E+07,5.6,PG-13,Bad,0,Comedy,-17.67723881,0.255185968
1995,177,5.30E+07,8.3,R,Good,1,"Action, Drama",69.32276119,0.35648891
2001,105,6.00E+05,6.8,PG-13,Good,1,"Drama, Romance",-2.677238806,-0.030938017
1998,100,9.00E+06,5.1,R,Bad,0,Drama,-7.677238806,0.118795145
1997,95,3.60E+07,6.7,R,Good,1,Action,-12.67723881,0.228499642
1999,110,1.20E+07,4.2,R,Bad,0,Comedy,2.322761194,0.083214751
1996,90,5.00E+05,4,R,Bad,0,"Comedy, Romance",-17.67723881,0.183778924
2001,91,4.00E+06,4.7,R,Bad,0,Action,-16.67723881,-0.022537285
2004,122,7.00E+06,6.3,PG-13,Good,1,"Comedy, Romance",14.32276119,-0.144103288
1998,89,2.50E+07,5.2,R,Bad,0,Comedy,-18.67723881,0.158328
2001,99,1.20E+07,5.2,R,Bad,0,Drama,-8.677238806,-0.002770858
1999,95,4.00E+06,3.7,R,Bad,0,"Action, Romance",-12.67723881,0.063448323
1995,135,2.20E+07,6.9,PG-13,Good,1,"Drama, Romance",27.32276119,0.279894002
2001,97,2.60E+07,7,R,Good,1,"Comedy, Romance",-10.67723881,0.031820391
2004,108,7.00E+07,5.7,R,Bad,0,"Comedy, Drama, Romance",0.322761194,0.01155733
2001,119,1.00E+06,7.1,PG-13,Good,1,Drama,11.32276119,-0.029949696
2000,98,1.00E+07,6.1,PG-13,Good,1,Comedy,-9.677238806,0.03528034
2003,105,3.50E+07,5.6,PG-13,Bad,0,Comedy,-2.677238806,-0.031927987
1999,121,3.20E+07,6.7,R,Good,1,Drama,13.32276119,0.13263082
1996,108,6.50E+07,5.7,R,Bad,0,Action,0.322761194,0.343145747
1998,90,6.00E+05,6.1,R,Good,1,Drama,-17.67723881,0.098040395
2004,90,70000,4.2,R,Bad,0,Drama,-17.67723881,-0.161225956
1984,106,3.00E+05,6.7,R,Good,1,"Comedy, Drama",-1.677238806,0.699198414
1995,98,23800,6.4,R,Good,1,"Comedy, Drama",-9.677238806,0.225595131
2002,109,8.00E+06,5.9,PG-13,Bad,0,"Comedy, Drama, Romance",1.322761194,-0.055646876
2003,101,8.10E+07,6.4,PG-13,Good,1,"Comedy, Romance",-6.677238806,0.081728973
2000,108,1.00E+07,6,PG-13,Bad,0,"Comedy, Drama",0.322761194,0.03528034
1998,106,6.00E+06,6,PG-13,Bad,0,"Drama, Romance",-1.677238806,0.111382734
2002,92,1.00E+06,7.5,R,Good,1,Comedy,-15.67723881,-0.0729425
2001,84,1.30E+07,5.1,PG-13,Bad,0,"Comedy, Drama, Romance",-23.67723881,-0.000300054
1998,110,1500000,7.2,R,Good,1,"Comedy, Drama",2.322761194,0.100264119
2001,98,1.50E+07,7,R,Good,1,"Comedy, Drama",-9.677238806,0.004641553
1998,93,8500000,2.9,PG-13,Bad,0,"Action, Comedy",-14.67723881,0.117559743
2003,104,5.20E+07,5.2,PG-13,Bad,0,"Action, Comedy",-3.677238806,0.010075672
1999,85,1200000,6.2,R,Good,1,"Comedy, Drama, Romance",-22.67723881,0.056530073
2004,120,1.30E+07,7.6,R,Good,1,Drama,12.32276119,-0.129278467
1968,158,5.00E+06,8.7,PG-13,Good,1,Drama,50.32276119,1.398696058
2001,91,7.00E+06,6.4,R,Good,1,"Comedy, Drama",-16.67723881,-0.015124875
1996,96,4.70E+07,5.5,PG-13,Bad,0,"Comedy, Drama",-11.67723881,0.298671285
1995,104,3500000,5.7,R,Bad,0,Drama,-3.677238806,0.234184138
2000,94,2.00E+06,5.7,PG,Bad,0,"Comedy, Drama, Romance",-13.67723881,0.015513912
1998,101,1.00E+07,6.2,PG-13,Good,1,"Comedy, Romance",-6.677238806,0.121265948
1991,128,3.50E+07,7.1,R,Good,1,Drama,20.32276119,0.483985664
2001,131,5.70E+07,5.9,R,Bad,0,"Drama, Romance",23.32276119,0.108415298
2003,147,6.00E+06,7.7,R,Good,1,Drama,39.32276119,-0.103581287
1996,89,1.70E+07,4.5,PG,Bad,0,Comedy,-18.67723881,0.224547181
1995,176,5.20E+07,7.8,R,Good,1,Drama,68.32276119,0.354018106
1995,100,5.50E+07,5.6,PG,Bad,0,Comedy,-7.677238806,0.361430517
2000,143,9.00E+07,7.3,PG-13,Good,1,Drama,35.32276119,0.232944617
2003,82,1.09E+08,3.2,PG,Bad,0,Comedy,-25.67723881,0.15091147
2002,141,5.20E+07,7.6,PG-13,Good,1,Drama,33.32276119,0.053068476
2004,91,1.80E+07,4.5,PG,Bad,0,"Action, Comedy",-16.67723881,-0.11692445
2001,87,6.00E+07,5.4,PG,Bad,0,Comedy,-20.67723881,0.115827708
2004,104,8.50E+07,3.4,PG-13,Bad,0,Action,-3.677238806,0.048619382
2000,87,1.00E+07,6,R,Bad,0,Comedy,-20.67723881,0.03528034
1998,113,1.20E+07,6.1,R,Good,1,Comedy,5.322761194,0.126207555
2004,94,2.50E+07,6.4,PG-13,Good,1,Action,-13.67723881,-0.099628825
1996,106,5.50E+07,5.1,PG-13,Bad,0,"Action, Drama",-1.677238806,0.318437712
2000,96,2.00E+07,6.1,R,Good,1,Comedy,-11.67723881,0.059988374
1998,95,1.00E+07,2.6,PG-13,Bad,0,Comedy,-12.67723881,0.121265948
1996,113,5.00E+07,5.7,R,Bad,0,Drama,5.322761194,0.306083695
1997,95,1200000,5.5,R,Bad,0,"Comedy, Drama",-12.67723881,0.142515682
2002,99,4.50E+07,6.6,R,Good,1,Drama,-8.677238806,0.035772852
2004,94,5.00E+06,5,R,Bad,0,Drama,-13.67723881,-0.149044895
2000,94,9.20E+07,5.8,PG-13,Bad,0,"Action, Comedy",-13.67723881,0.237886223
2003,107,1.20E+08,5,PG-13,Bad,0,"Action, Comedy",-0.677238806,0.178090308
2002,85,80000,4.6,R,Bad,0,Drama,-22.67723881,-0.075215639
2002,103,950000,5.5,PG,Bad,0,"Comedy, Drama, Romance",-4.677238806,-0.07306604
1997,111,250000,7.6,R,Good,1,"Comedy, Drama, Romance",3.322761194,0.140168418
2004,111,2.30E+07,5.7,PG-13,Bad,0,"Comedy, Romance",3.322761194,-0.104570432
2003,98,4.00E+07,5.8,PG,Bad,0,"Comedy, Drama",-9.677238806,-0.019573969
2002,99,1500000,6.5,R,Good,1,"Comedy, Drama",-8.677238806,-0.071707098
2000,92,1.40E+07,4.9,R,Bad,0,Comedy,-15.67723881,0.045163553
2002,113,4.50E+07,7.5,PG-13,Good,1,"Comedy, Drama",5.322761194,0.035772852
2002,102,1.00E+07,6,PG,Bad,0,Drama,-5.677238806,-0.050705269
1999,101,3.40E+07,5,R,Bad,0,"Action, Comedy",-6.677238806,0.137572427
2002,134,3500000,4,R,Bad,0,"Drama, Romance",26.32276119,-0.066765491
2004,98,6.00E+07,4.5,PG,Bad,0,Comedy,-9.677238806,-0.013150704
2004,135,1.10E+08,6.2,PG-13,Good,1,Action,27.32276119,0.110389469
2000,96,250000,6.6,R,Good,1,"Comedy, Drama",-11.67723881,0.011190006
2002,100,5.00E+06,4.8,R,Bad,0,"Comedy, Drama, Romance",-7.677238806,-0.063059286
2002,135,3300000,8.7,R,Good,1,Drama,27.32276119,-0.067259652
1999,126,2.40E+07,7.5,PG-13,Good,1,"Drama, Romance",18.32276119,0.112864392
2004,95,2.00E+07,4.9,PG,Bad,0,"Comedy, Romance",-12.67723881,-0.111982843
1996,111,4.00E+07,6.1,R,Good,1,Drama,3.322761194,0.28137566
2002,108,6.00E+07,6.3,R,Good,1,Drama,0.322761194,0.072834904
1998,114,5.50E+07,6.2,PG-13,Good,1,"Drama, Romance",6.322761194,0.232452104
1998,112,6.00E+07,6.4,PG-13,Good,1,Drama,4.322761194,0.244806121
2002,95,5.00E+05,4.1,R,Bad,0,Drama,-12.67723881,-0.074177902
1998,91,2.00E+06,3.8,R,Bad,0,"Drama, Romance",-16.67723881,0.10149952
2003,79,114000,4.2,R,Bad,0,Comedy,-28.67723881,-0.118124436
1998,104,8.00E+06,6.4,R,Good,1,"Comedy, Drama",-3.677238806,0.116324341
1994,92,230000,7.9,R,Good,1,"Comedy, Drama",-15.67723881,0.269097415
2002,98,2500000,5.2,PG,Bad,0,"Action, Drama",-9.677238806,-0.069236295
1995,129,2.50E+07,6.8,R,Good,1,Drama,21.32276119,0.287306413
2004,119,9.00E+06,5.2,R,Bad,0,Comedy,11.32276119,-0.139161681
1995,97,2.00E+07,6.7,PG-13,Good,1,"Comedy, Romance",-10.67723881,0.274952395
2005,136,3.00E+07,6.6,PG-13,Good,1,Drama,28.32276119,-0.130267612
2002,100,3.00E+05,6.6,R,Good,1,Documentary,-7.677238806,-0.074672063
2003,92,7500000,6.4,R,Good,1,"Drama, Romance",-15.67723881,-0.099875082
2003,152,8.30E+07,7.4,R,Good,1,"Drama, Romance",44.32276119,0.08667058
2004,120,6.50E+07,7.7,R,Good,1,Drama,12.32276119,-0.000796687
2002,108,8.50E+07,5.2,R,Bad,0,Action,0.322761194,0.134604991
1997,88,5.00E+06,5.4,R,Bad,0,"Comedy, Drama, Romance",-19.67723881,0.151904735
2000,98,3.00E+06,5.2,R,Bad,0,"Comedy, Drama",-9.677238806,0.017984715
2000,86,1.60E+07,4.8,PG-13,Bad,0,Comedy,-21.67723881,0.05010516
2003,112,1.50E+07,6.2,PG-13,Good,1,Drama,4.322761194,-0.081344056
2000,110,2.00E+06,7.2,R,Good,1,Comedy,2.322761194,0.015513912
1999,114,4.00E+06,5.8,R,Bad,0,Drama,6.322761194,0.063448323
